[2025-05-16 03:19:34.078772+00:00] TCP | 192.168.1.26 -> 192.168.1.1:48956
[2025-05-16 03:19:34.079325+00:00] TCP | 192.168.1.26 -> 192.168.1.1:11640
[2025-05-16 03:19:34.079330+00:00] TCP | 192.168.1.26 -> 192.168.1.1:33615
[2025-05-16 03:19:34.079335+00:00] TCP | 192.168.1.26 -> 192.168.1.1:45519
[2025-05-16 03:19:34.079341+00:00] TCP | 192.168.1.26 -> 192.168.1.1:50442
[2025-05-16 03:19:34.079346+00:00] TCP | 192.168.1.26 -> 192.168.1.1:26508
[2025-05-16 03:19:34.079351+00:00] TCP | 192.168.1.26 -> 192.168.1.1:10270
[2025-05-16 03:19:34.079356+00:00] TCP | 192.168.1.26 -> 192.168.1.1:26583
[2025-05-16 03:19:34.079361+00:00] TCP | 192.168.1.26 -> 192.168.1.1:3789
[2025-05-16 03:19:34.079366+00:00] TCP | 192.168.1.26 -> 192.168.1.1:36989
[2025-05-16 03:19:34.079371+00:00] TCP | 192.168.1.26 -> 192.168.1.1:37936
[2025-05-16 03:19:34.079376+00:00] TCP | 192.168.1.26 -> 192.168.1.1:62131
[2025-05-16 03:19:34.079382+00:00] TCP | 192.168.1.26 -> 192.168.1.1:39841
[2025-05-16 03:19:34.079387+00:00] TCP | 192.168.1.26 -> 192.168.1.1:43443
[2025-05-16 03:19:34.079392+00:00] TCP | 192.168.1.26 -> 192.168.1.1:60632
[2025-05-16 03:19:34.079398+00:00] TCP | 192.168.1.26 -> 192.168.1.1:63410
[2025-05-16 03:19:34.079403+00:00] TCP | 192.168.1.26 -> 192.168.1.1:38927
[2025-05-16 03:19:34.079408+00:00] TCP | 192.168.1.26 -> 192.168.1.1:17113
[2025-05-16 03:19:34.079413+00:00] TCP | 192.168.1.26 -> 192.168.1.1:51627
[2025-05-16 03:19:34.079418+00:00] TCP | 192.168.1.26 -> 192.168.1.1:30472
[2025-05-16 03:19:34.079424+00:00] TCP | 192.168.1.26 -> 192.168.1.1:35844
[2025-05-16 03:19:34.079429+00:00] TCP | 192.168.1.26 -> 192.168.1.1:2815
[2025-05-16 03:19:34.079434+00:00] TCP | 192.168.1.26 -> 192.168.1.1:45871
[2025-05-16 03:19:34.079440+00:00] TCP | 192.168.1.26 -> 192.168.1.1:44815
[2025-05-16 03:19:34.079445+00:00] TCP | 192.168.1.26 -> 192.168.1.1:7127
[2025-05-16 03:19:34.079450+00:00] TCP | 192.168.1.26 -> 192.168.1.1:28873
[2025-05-16 03:19:34.079456+00:00] TCP | 192.168.1.26 -> 192.168.1.1:62821
[2025-05-16 03:19:34.079462+00:00] TCP | 192.168.1.26 -> 192.168.1.1:59169
[2025-05-16 03:19:34.079468+00:00] TCP | 192.168.1.26 -> 192.168.1.1:57739
[2025-05-16 03:19:34.079472+00:00] TCP | 192.168.1.26 -> 192.168.1.1:43760
[2025-05-16 03:19:34.079475+00:00] TCP | 192.168.1.26 -> 192.168.1.1:47866
[2025-05-16 03:19:34.079478+00:00] TCP | 192.168.1.26 -> 192.168.1.1:50892
[2025-05-16 03:19:34.079481+00:00] TCP | 192.168.1.26 -> 192.168.1.1:107
[2025-05-16 03:19:34.079485+00:00] TCP | 192.168.1.26 -> 192.168.1.1:24417
[2025-05-16 03:19:34.079488+00:00] TCP | 192.168.1.26 -> 192.168.1.1:19233
[2025-05-16 03:29:18.187152+00:00] LOGIN_FAIL | 192.168.1.89 -> login attempt failed
[2025-05-16 03:29:18.187181+00:00] LOGIN_FAIL | 192.168.1.89 -> login attempt failed
[2025-05-16 03:29:18.187189+00:00] LOGIN_FAIL | 192.168.1.89 -> login attempt failed
[2025-05-16 03:29:18.187196+00:00] LOGIN_FAIL | 192.168.1.89 -> login attempt failed
[2025-05-16 03:29:18.187200+00:00] LOGIN_FAIL | 192.168.1.89 -> login attempt failed
[2025-05-16 03:29:18.187205+00:00] LOGIN_FAIL | 192.168.1.89 -> login attempt failed
[2025-05-16 03:29:18.187210+00:00] LOGIN_FAIL | 192.168.1.89 -> login attempt failed
[2025-05-16 03:29:18.187215+00:00] LOGIN_FAIL | 192.168.1.89 -> login attempt failed
[2025-05-16 03:29:18.187220+00:00] LOGIN_FAIL | 192.168.1.89 -> login attempt failed
[2025-05-16 03:29:18.187225+00:00] LOGIN_FAIL | 192.168.1.89 -> login attempt failed
[2025-05-16 03:29:18.187230+00:00] LOGIN_FAIL | 192.168.1.89 -> login attempt failed
[2025-05-16 03:29:18.187235+00:00] LOGIN_FAIL | 192.168.1.89 -> login attempt failed
[2025-05-16 03:29:18.187239+00:00] LOGIN_FAIL | 192.168.1.89 -> login attempt failed
[2025-05-16 03:29:18.187242+00:00] LOGIN_FAIL | 192.168.1.89 -> login attempt failed
[2025-05-16 03:29:18.187245+00:00] LOGIN_FAIL | 192.168.1.89 -> login attempt failed
[2025-05-16 03:48:32.249005+00:00] ARP | 192.168.1.232 -> 192.168.1.2
[2025-05-16 03:48:32.249030+00:00] ARP | 192.168.1.232 -> 192.168.1.3
[2025-05-16 03:48:32.249035+00:00] ARP | 192.168.1.232 -> 192.168.1.4
[2025-05-16 03:48:32.249038+00:00] ARP | 192.168.1.232 -> 192.168.1.5
[2025-05-16 03:48:32.249042+00:00] ARP | 192.168.1.232 -> 192.168.1.6
[2025-05-16 03:48:32.249045+00:00] ARP | 192.168.1.232 -> 192.168.1.7
[2025-05-16 03:48:32.249048+00:00] ARP | 192.168.1.232 -> 192.168.1.8
[2025-05-16 03:48:32.249052+00:00] ARP | 192.168.1.232 -> 192.168.1.9
[2025-05-16 03:52:44.020091+00:00] LOGIN_FAIL | 127.0.0.1 -> login attempt failed
[2025-05-16 03:58:20.046021+00:00] LOGIN_FAIL | 192.168.1.209 -> login attempt failed
[2025-05-16 03:58:20.046045+00:00] LOGIN_FAIL | 192.168.1.209 -> login attempt failed
[2025-05-16 03:58:20.046049+00:00] LOGIN_FAIL | 192.168.1.209 -> login attempt failed
[2025-05-16 03:58:20.046052+00:00] LOGIN_FAIL | 192.168.1.209 -> login attempt failed
[2025-05-16 03:58:20.046055+00:00] LOGIN_FAIL | 192.168.1.209 -> login attempt failed
[2025-05-16 03:58:20.046058+00:00] LOGIN_FAIL | 192.168.1.209 -> login attempt failed
[2025-05-16 03:58:20.046061+00:00] LOGIN_FAIL | 192.168.1.209 -> login attempt failed
[2025-05-16 03:58:20.046064+00:00] LOGIN_FAIL | 192.168.1.209 -> login attempt failed
[2025-05-16 03:58:20.046067+00:00] LOGIN_FAIL | 192.168.1.209 -> login attempt failed
[2025-05-16 03:58:20.046070+00:00] LOGIN_FAIL | 192.168.1.209 -> login attempt failed
[2025-05-16 03:58:20.046073+00:00] LOGIN_FAIL | 192.168.1.209 -> login attempt failed
[2025-05-16 03:58:20.046077+00:00] LOGIN_FAIL | 192.168.1.209 -> login attempt failed
[2025-05-16 03:58:20.046079+00:00] LOGIN_FAIL | 192.168.1.209 -> login attempt failed
[2025-05-16 03:58:20.046082+00:00] LOGIN_FAIL | 192.168.1.209 -> login attempt failed
[2025-05-16 03:58:20.046084+00:00] LOGIN_FAIL | 192.168.1.209 -> login attempt failed
[2025-05-16 04:09:06.762261+00:00] TCP | 192.168.1.60 -> 192.168.1.1:20
[2025-05-16 04:09:06.762284+00:00] TCP | 192.168.1.60 -> 192.168.1.1:21
[2025-05-16 04:09:06.762289+00:00] TCP | 192.168.1.60 -> 192.168.1.1:22
[2025-05-16 04:09:06.762294+00:00] TCP | 192.168.1.60 -> 192.168.1.1:23
[2025-05-16 04:09:06.762297+00:00] TCP | 192.168.1.60 -> 192.168.1.1:24
[2025-05-16 04:09:06.762300+00:00] TCP | 192.168.1.60 -> 192.168.1.1:25
[2025-05-16 04:09:06.762304+00:00] TCP | 192.168.1.60 -> 192.168.1.1:26
[2025-05-16 04:09:06.762308+00:00] TCP | 192.168.1.60 -> 192.168.1.1:27
[2025-05-16 04:09:06.762311+00:00] TCP | 192.168.1.60 -> 192.168.1.1:28
[2025-05-16 04:09:06.762315+00:00] TCP | 192.168.1.60 -> 192.168.1.1:29
